exposure_time-g	exposure_time-r	exposure_time-z	magnitude_zero_point-g	magnitude_zero_point-r	magnitude_zero_point-z
175.0	40.0	104.0	32.12072	30.798489	31.454836
90.0	41.0	56.0	31.568996	30.821579	30.845936
90.0	90.0	123.0	31.56623	31.651272	31.718348
90.0	90.0	162.0	31.43195	31.693777	31.921154
125.0	96.0	100.0	31.833368	31.738743	31.516571
90.0	150.0	90.0	31.623096	32.21399	31.38118
100.0	210.0	90.0	31.62405	32.574898	31.281904
100.0	150.0	50.0	31.604914	32.203213	30.742994
300.0	40.0	94.0	32.751152	30.809053	31.377409
30.0	30.0	30.0	30.3204	30.594818	30.122753
90.0	30.0	99.0	31.58278	30.53882	31.49917
90.0	90.0	90.0	31.390131	31.68711	31.264614
40.0	40.0	100.0	30.57798	30.799652	31.520464
116.0	44.0	126.0	31.622675	30.800867	31.728357
90.0	30.0	30.0	31.419514	30.485176	30.09722
90.0	30.0	67.0	31.41124	30.542686	31.066889
90.0	100.0	90.0	31.404545	31.859266	31.375755
111.0	57.0	89.0	31.688135	31.196255	31.151884
93.0	47.0	96.0	31.405766	30.895168	30.943554
90.0	100.0	70.0	31.578188	31.828762	31.114227
90.0	30.0	87.0	31.613564	30.5357	31.289768
267.0	267.0	87.0	32.64051	32.824482	31.32869
90.0	90.0	165.0	31.389042	31.683191	31.94679
96.0	30.0	30.0	31.672913	30.569027	30.185848
90.0	36.0	61.0	31.560629	30.71663	30.928656
100.0	210.0	70.0	31.626606	32.58768	31.102982
96.0	50.0	30.0	31.552496	30.986828	30.137407
90.0	31.0	31.0	31.558674	30.503658	30.222435
96.0	30.0	30.0	31.681181	30.567549	30.222954
186.0	40.0	114.0	32.315727	30.820528	31.604053
79.0	40.0	80.0	31.193699	30.702501	31.151081
86.0	86.0	118.0	31.443916	31.57567	31.421616
90.0	100.0	90.0	31.41838	31.849586	31.295694
96.0	50.0	30.0	31.553562	30.987644	30.146667
40.0	150.0	139.0	30.609266	32.23439	31.841059
90.0	30.0	90.0	31.391476	30.541683	31.361116
96.0	30.0	30.0	31.68229	30.573042	30.219122
90.0	60.0	150.0	31.559444	31.280117	31.914408
99.0	83.0	250.0	31.485077	31.507496	32.320854
130.0	86.0	80.0	31.771252	31.570534	31.126682
90.0	50.0	70.0	31.597271	31.136099	31.119299
86.0	86.0	81.0	31.43168	31.568851	31.158802
90.0	35.0	70.0	31.384943	30.608742	31.037252
90.0	120.0	55.0	31.56758	31.923084	30.799438
82.0	56.0	98.0	31.283665	31.08312	31.244091
100.0	120.0	90.0	31.608747	32.001034	31.406673
267.0	267.0	333.0	32.612823	32.85366	32.76485
90.0	52.0	56.0	31.577919	31.077526	30.852304
285.0	51.0	184.0	32.702465	30.971176	32.124313
90.0	90.0	60.0	31.49956	31.66703	30.999691
90.0	30.0	120.0	31.51674	30.47343	31.550127
56.0	40.0	250.0	31.049074	30.67257	32.439003
126.0	119.0	180.0	31.686127	31.941101	32.045853
100.0	150.0	90.0	31.616856	32.2198	31.289473
90.0	90.0	83.0	31.526234	31.700058	31.249527
96.0	50.0	30.0	31.648035	30.985443	30.183104
96.0	30.0	30.0	31.676573	30.565554	30.202568
90.0	30.0	92.0	31.557882	30.4659	31.388367
48.0	40.0	92.0	30.81549	30.799068	31.308067
60.0	60.0	80.0	30.916157	31.050936	31.250378
285.0	86.0	117.0	32.7088	31.568596	31.463762
90.0	43.0	199.0	31.537973	30.918726	32.25663
100.0	120.0	155.0	31.582321	31.97586	32.051945
90.0	200.0	120.0	31.401577	32.48154	31.571741
45.0	100.0	144.0	30.573229	31.811451	31.894722
90.0	150.0	90.0	31.562397	32.228355	31.244417
90.0	90.0	90.0	31.485239	31.678041	31.181002
90.0	50.0	70.0	31.57235	31.135204	31.11177
96.0	30.0	30.0	31.693455	30.572136	30.206501
60.0	60.0	97.0	31.066444	31.255219	31.548399
109.0	42.0	100.0	31.59427	30.76297	31.528893
90.0	30.0	59.0	31.56767	30.469025	30.868801
96.0	30.0	30.0	31.713438	30.603983	30.178957
95.0	47.0	250.0	31.453957	30.882038	32.39035
267.0	75.0	333.0	32.71936	31.52855	32.635452
90.0	90.0	40.0	31.472319	31.668715	30.449934
90.0	300.0	56.0	31.55296	33.08628	30.845112
90.0	35.0	50.0	31.562252	30.657122	30.728132
107.0	53.0	80.0	31.435211	30.914879	31.181469
90.0	90.0	134.0	31.496456	31.68336	31.834766
94.0	42.0	180.0	31.468803	30.733524	32.070023
100.0	85.0	100.0	31.614248	31.636347	31.484703
100.0	120.0	90.0	31.61292	32.005352	31.368114
60.0	100.0	90.0	30.977468	31.73624	31.351028
90.0	48.0	70.0	31.59165	31.092142	31.128075
90.0	93.0	120.0	31.573704	31.821249	31.673527
90.0	90.0	60.0	31.47239	31.672014	31.006212
180.0	71.0	300.0	32.353287	31.439213	32.683643
101.0	40.0	102.0	31.426985	30.65339	31.42713
175.0	101.0	80.0	32.12468	31.663128	31.264473
111.0	87.0	89.0	31.68856	31.609472	31.162485
285.0	125.0	184.0	32.696716	31.981182	32.12027
70.0	100.0	90.0	31.033691	31.659025	31.292597
90.0	100.0	70.0	31.589502	31.819595	31.106777
90.0	73.0	120.0	31.43203	31.442076	31.602827
90.0	30.0	212.0	31.59074	30.57631	32.254005
90.0	150.0	30.0	31.615934	32.20687	30.130238
90.0	100.0	30.0	31.426626	31.85918	30.163755
90.0	30.0	140.0	31.534918	30.501707	31.844944
90.0	90.0	90.0	31.561962	31.613016	31.265177
90.0	62.0	120.0	31.396212	31.270525	31.580225
100.0	100.0	109.0	31.60812	31.80312	31.563896
90.0	100.0	90.0	31.432692	31.669567	31.293783
90.0	30.0	56.0	31.58633	30.46078	30.86271
90.0	41.0	60.0	31.532673	30.827026	30.789589
120.0	120.0	52.0	31.703382	31.919817	30.73109
120.0	120.0	90.0	31.706512	31.915882	31.285484
90.0	120.0	94.0	31.56374	31.924068	31.401989
90.0	55.0	158.0	31.563612	31.24125	32.018948
90.0	40.0	139.0	31.505407	30.806635	31.845825
96.0	30.0	30.0	31.686083	30.579397	30.189327
90.0	60.0	120.0	31.55357	31.2942	31.702946
151.0	86.0	80.0	31.86489	31.572054	31.114689
135.0	40.0	80.0	31.912094	30.770157	31.123016
90.0	100.0	90.0	31.445623	31.687323	31.323639
267.0	60.0	60.0	32.68838	31.305136	30.949013
90.0	30.0	144.0	31.567938	30.486055	31.963236
90.0	30.0	70.0	31.377777	30.52712	31.106724
90.0	100.0	87.0	31.449879	31.674482	31.277042
60.0	150.0	90.0	30.855848	32.14178	31.294998
90.0	90.0	162.0	31.317373	31.697973	31.939037
90.0	30.0	90.0	31.59566	30.43333	31.238167
84.0	90.0	200.0	31.466984	31.681404	32.230118
100.0	267.0	80.0	31.66815	32.902878	31.257746
90.0	90.0	90.0	31.423279	31.688145	31.352526
90.0	60.0	120.0	31.543087	31.294298	31.691622
300.0	200.0	90.0	32.789604	32.49679	31.33491
90.0	30.0	70.0	31.60354	30.532415	31.102215
96.0	30.0	30.0	31.689959	30.568783	30.210896
90.0	35.0	70.0	31.569647	30.674845	31.110537
90.0	120.0	65.0	31.545944	31.901644	31.018356
100.0	150.0	50.0	31.613157	32.226948	30.745232
246.0	86.0	80.0	32.594913	31.597414	31.259167
90.0	30.0	56.0	31.554237	30.476288	30.860624
90.0	41.0	30.0	31.560322	30.825575	30.123386
96.0	200.0	30.0	31.669237	32.518734	30.14261
90.0	150.0	90.0	31.554148	32.226845	31.364487
90.0	90.0	90.0	31.400957	31.623735	31.379578
96.0	59.0	104.0	31.45435	31.22258	31.499527
250.0	250.0	106.0	32.483757	32.87615	31.608217
90.0	30.0	56.0	31.56385	30.52156	30.82649
90.0	30.0	64.0	31.58152	30.53109	31.112709
100.0	210.0	90.0	31.613142	32.58766	31.383873
100.0	100.0	82.0	31.582066	31.814314	31.22716
