CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-z	WEIGHT
19.87034607	19.8856411	23.86746407	1.0
19.88181305	19.90407562	19.54069138	1.0
19.48911285	19.80645561	19.21092033	1.0
19.3005619	19.76398849	18.52964401	1.0
19.61504745	19.45598412	17.98846245	1.0
19.93500137	21.12609291	19.35164261	1.0
19.91886139	20.15670776	19.2190876	1.0
19.08298111	18.34057426	18.32772255	1.0
18.22159195	17.14324951	15.62883949	1.0
19.98379326	19.83795929	19.27660942	1.0
19.88112831	20.01337814	18.61945534	1.0
19.84552765	20.11806488	18.97187614	1.0
19.88537025	20.22624779	19.62961578	1.0
18.277668	17.45776176	18.99688911	1.0
19.5241127	19.45998001	18.36641884	1.0
19.42284775	19.27305222	18.88407707	1.0
19.85082054	18.97153091	17.87786865	1.0
19.67009735	20.97013283	21.90948296	1.0
18.82040596	18.64065933	19.67924118	1.0
19.39127731	19.33244896	18.51497841	1.0
19.48172188	20.65802383	18.78457451	1.0
19.69425964	19.81236458	19.38572121	1.0
18.9616909	18.94384193	18.29640961	1.0
19.66193199	19.73930359	18.84963608	1.0
19.65530968	19.52974319	19.16622543	1.0
19.77572441	19.92400932	19.47198296	1.0
18.88921356	18.79241943	17.98369789	1.0
19.92732811	20.17148018	19.05820084	1.0
19.93133736	19.94797134	18.47282219	1.0
19.84661293	19.59165955	19.86135483	1.0
18.95987892	19.11094284	18.51762962	1.0
19.66032791	19.28405571	17.86215591	1.0
19.74816704	18.89481354	18.44045258	1.0
19.65407181	20.18802834	19.47368622	1.0
